Lesson,Front,Back,Example,Translation
e16-l4,Prominente,celebrity (male),Der Prominente wurde von den Fans umringt.," ""The celebrity was surrounded by fans."""
e16-l4,groß werden,to grow up,Alle Kinder werden irgendwann groß.,All children grow up eventually.
e16-l4,zwinkern,to wink,Er zwinkerte ihr zu.,He winked at her.
e16-l4,Augen verdrehen,to roll (your) eyes,"Sie verdrehte die Augen, als er das sagte."," ""She rolled her eyes when he said that."""
e16-l4,einen Preis (für etwas) gewinnen,to win a prize (for something),Er hat einen Filmpreis gewonnen.,He won a film prize.
e16-l4,sich langweilen,to be bored; to get bored,"Ich langweile mich, wenn ich nichts zu tun habe.",I get bored when I have nothing to do.
e16-l4,an einer Uni studieren,to study at a university,Sie studiert an einer Uni in Berlin.,She studies at a university in Berlin.
e16-l4,Augen aufreißen,to open (your) eyes,"Als er die Nachricht hörte, riss er die Augen auf.","When he heard the news, he opened his eyes wide."
e16-l4,etwas veranstalten,to put on an event,Wir veranstalten jedes Jahr ein Sommerfest.,We organize a summer festival every year.
e16-l4,jemandem etwas vorstellen,to present something (such as a new product) to somebody,Wir möchten Ihnen unser neues Produkt vorstellen.,We would like to present our new product to you.
e16-l4,Auszeichnung,award; accolade,Der Film hat viele Auszeichnungen bekommen.,The film received many awards.
e16-l4,Auftrag,order; assignment; contract,Seit einem Jahr hat er keine Aufträge mehr.," ""He hasn't had any orders for a year now."""
e17-l1,Bescheid wissen,to know; to be aware of,Lisa weiß Bescheid.,Lisa knows.
e17-l1,unglücklich,unhappy,Er ist unglücklich mit seiner Arbeit.,He is unhappy with his job.
e17-l1,fröhlich,happy,Sie ist ein fröhliches Kind.,She is a happy child.
e17-l1,wütend,angry; furious,"Sie werden sehr wütend, wenn sie herausfinden, wo ich wirklich bin.",They get very angry when they find out where I really am.
e17-l1,Spinne,spider,Ich habe eine Spinne gesehen.,I saw a spider.
e17-l1,traurig,sad,Er ist sehr traurig.,He is very sad.
e17-l1,sich ärgern,to get annoyed about or by,"Sie werden sehr wütend, wenn sie herausfinden, wo ich wirklich bin.",They get very angry when they find out where I really am.
e17-l1,eklig,repulsive; disgusting,Das Essen ist eklig.,The food is disgusting.
e17-l1,Mein Gott!,My God!,Mein Gott! So ein schönes Fahrrad!,My God! Such a beautiful bike!
e17-l1,lieb,kind,Du bist sehr lieb.,You are very kind.
e17-l1,sich ekeln,to be disgusted by something,Ich ekele mich vor Spinnen.,I am disgusted by spiders.
e17-l1,erlauben,to allow something; to give permission for something,Dein Vater hat das erlaubt?,Did your father allow that?
e17-l1,richtig,right; totally,Das ist richtig!,That's right!
e17-l1,seit Langem,for a long time,Das ist der beste Geburtstag seit Langem!,That's the best birthday in a long time!
e17-l2,erkennen,to recognize somebody/something,Ich habe ihn sofort an seiner Stimme erkannt.,I recognized him immediately by his voice.
e17-l2,Aggression,aggression,Die Aggression in seinem Verhalten war offensichtlich.,The aggression in his behavior was obvious.
e17-l2,Verhalten,behavior; conduct,Sein Verhalten war sehr unhöflich.,His behavior was very impolite.
e17-l2,Angst,fear,Ich habe Angst vor Spinnen.,I am afraid of spiders.
e17-l2,Sympathie,sympathy,Ich habe viel Sympathie für die Opfer.,I have a lot of sympathy for the victims.
e17-l2,fürchten,to be afraid,Ich fürchte mich vor großen Hunden.,I am afraid of big dogs.
e17-l2,erschrecken,to be frightened; to be scared,Ich habe mich vor dem lauten Knall erschreckt.,I was scared by the loud bang.
e17-l2,Traurigkeit,sadness,Die Traurigkeit in ihren Augen war offensichtlich.,The sadness in her eyes was obvious.
e17-l2,Geräusch,noise,Das Geräusch des Motors störte die Ruhe.,The noise of the engine disturbed the silence.
e17-l2,teilen,to share something,Wir können uns das Essen teilen.,We can share the food.
e17-l2,Ekel,disgust; aversion,Ich empfinde Ekel vor manchen Insekten.,I feel disgust for some insects.
e17-l2,Wut,rage,Die Wut kochte in ihm hoch.,Rage was boiling up inside him.
e17-l2,Furcht,dread; fear,Die Furcht vor der Dunkelheit ist weit verbreitet.,The fear of the dark is widespread.
e17-l2,Freundlichkeit,friendliness,Seine Freundlichkeit hat alle überrascht.,His friendliness surprised everyone.
e17-l2,Freude,joy,"Die Freude war groß, als sie die Nachricht hörte.",The joy was great when she heard the news.
e17-l2,sich wundern,to wonder about something; to be surprised about something,Das wundert mich aber nicht.,That doesn't surprise me though.
e17-l2,nervös,nervous,Ich bin immer nervös vor Prüfungen.,I am always nervous before exams.
e17-l2,Überraschung,surprise,Die Überraschung war gelungen.,The surprise was a success.
e17-l2,negativ,negative,Seine Antwort war sehr negativ.,His answer was very negative.
e17-l2,ärgerlich,angry; annoyed,Er war ärgerlich über die Verspätung.,He was annoyed about the delay.
e17-l2,jederzeit,any time,Sie können mich jederzeit anrufen.,You can call me anytime.
e17-l2,grüßen,to send somebody (someone’s) regards,Soll ich die beiden Turteltauben mal von Ihnen grüßen?,Should I send your regards to those two lovebirds?
e17-l2,Deadline,deadline; due date,Die Deadline für das Projekt ist nächste Woche.,The deadline for the project is next week.
e17-l3,das Tor,goal,Er hat ein Tor geschossen.,He scored a goal.
e17-l3,vorbei sein,to be over; to have passed,Das ist jetzt vielleicht alles vorbei.,Maybe it's all over now.
e17-l3,der Bericht,report,Ich habe den Bericht gelesen.," ""I have read the report."""
e17-l3,jemanden aus|reden lassen,to let someone finish speaking,Lass mich bitte ausreden.,Please let me finish speaking.
e17-l3,irgendwie,somehow,"Mein Vater. Er hat irgendwie herausgefunden, dass ich nicht beim Sprachkurs bin.",My father. He somehow found out that I'm not at the language course.
e17-l3,etwas ahnen,to sense something; to suspect something,"Ich denke nicht, dass er irgendetwas ahnt."," ""I don't think he suspects anything."""
e17-l3,der Idiot,idiot,Du bist so ein Idiot!,You are such an idiot!
e17-l3,weil,because,"Ich muss gehen, weil ich müde bin.",I have to go because I'm tired.
e17-l3,fertig,finished,Ich bin fertig mit meiner Arbeit.,I am finished with my work.
e17-l3,die Schlange,queue,Die Schlange an der Kasse war sehr lang.,The queue at the checkout was very long.
e17-l3,(jemandem) etwas vor|schlagen,to propose something (to someone),Ich möchte dir etwas vorschlagen.,I would like to propose something to you.
e17-l3,meiner Meinung nach,in my opinion,Meiner Meinung nach ist das eine gute Idee.,"In my opinion, that is a good idea."
e17-l3,Ich bin der gleichen Meinung.,I share the same opinion./I agree with you.,Ich bin der gleichen Meinung.,I share the same opinion.
e17-l3,mit Absicht,intentionally; with intent,Er hat das nicht mit Absicht gemacht.,He didn't do that intentionally.
e17-l3,beleidigt,offended,"Er ist beleidigt, weil ich seinen Vorschlag abgelehnt habe."," ""He is offended because I rejected his proposal."""
e17-l3,(an etwas) schuld sein,to be at fault (for something),"Du bist schuld daran, dass wir zu spät sind.",You are at fault for us being late.
e17-l3,überzeugend,convincing,Seine Argumente waren sehr überzeugend.,His arguments were very convincing.
e17-l3,wahr,true; real,Ist das wahr?,Is that true?
e17-l3,jemandem widersprechen,to object; to disagree with someone,"Ich möchte dir nicht widersprechen, aber...","I don't want to contradict you, but..."
e17-l3,(an etwas) Schuld haben,to be guilty (for something); to be to blame (for something),"Ich finde nicht, dass ich an irgendwas Schuld hab.",I don't think I'm to blame for anything.
e17-l3,jemandem etwas erklären,to explain something to somebody,Kannst du mir das bitte erklären?,Can you please explain that to me?
e17-l3,der Widerspruch,contradiction,Es gibt einen Widerspruch in seiner Aussage.,There is a contradiction in his statement.
e17-l3,deutlich,clearly,"Er hat deutlich gesagt, dass er nicht kommt.",He said clearly that he is not coming.
e17-l3,das Missverständnis,misunderstanding,Das ist ein Missverständnis.,That's a misunderstanding.
e17-l3,irgendetwas,something,Hast du irgendetwas gehört?,Did you hear anything?
e17-l3,morgen früh,tomorrow morning,Wir sehen uns morgen früh.,We'll see each other tomorrow morning.
e17-l3,Das darf doch nicht wahr sein!,That can't be!/No way!,Das darf doch nicht wahr sein!,That can't be true!
e17-l3,etwas schaffen,to manage something,"Ich glaube, wir schaffen das.",I think we can manage that.
e17-l3,unmöglich,impossible,Das ist unmöglich.,That's impossible.
e17-l4,Abseits,offside,"Abseits, Abseits, Abseits, Abseits!","Offside, offside, offside, offside!"
e17-l4,aufgeben,to give up,Jetzt nicht aufgeben!,Don't give up now!
e17-l4,"Mir ist klar, dass ...",I know that...; I get that...,"Mir ist klar, dass du traurig bist.",I know that you are sad.
e17-l4,absolut,absolute/absolutely,Aber der macht ’n absolut großartiges Spiel heute.,But he's having an absolutely great game today.
e17-l4,total,totally,Der Müller ist heute aber auch total gut drauf.,Müller is also in totally good form today.
e17-l4,Dauerkarte,season ticket; season pass,Ich habe eine Dauerkarte für alle Heimspiele.,I have a season ticket for all home games.
e17-l4,Weltmeister,world champion (male),So rennen doch keine Weltmeister!,That's no way for world champions to run!
e17-l4,schießen,to shoot; to kick,"Ja, komm, schieß!","Yes, come on, shoot!"
e17-l4,Weltmeisterin,world champion (female),Sie ist eine bekannte Weltmeisterin im Schwimmen.,She is a well-known world champion in swimming.
e17-l4,Auswärtsspiel,away game,Das Auswärtsspiel ist am Sonntag.,The away game is on Sunday.
e17-l4,die Zustimmung,consent; approval,Brauchen wir ihre Zustimmung?,Do we need her approval?
e17-l4,Fernsehen,television,Wir schauen das Spiel im Fernsehen.,We are watching the game on television.
e17-l4,großartig,magnificent; brilliant; fabulous,Aber der macht ’n absolut großartiges Spiel heute.,But he's having an absolutely great game today.
e17-l4,mega,huge; enormous; (slang: super),Mega Chance …,Huge chance…
e17-l4,spöttisch,mocking; scornful; sneering,Er lachte spöttisch über meinen Fehler.,He laughed mockingly at my mistake.
e17-l4,Stadion,stadium,Das Stadion ist sehr groß.,The stadium is very big.
e17-l4,Heimspiel,home game,Das nächste Heimspiel ist in einer Woche.,The next home game is in a week.
e18-l1,die Revolution,revolution,Die Revolution hat die Welt verändert.,The revolution changed the world.
e18-l1,der Gewinn,profit,Das könnte sehr profitabel werden!,That could become very profitable!
e18-l1,die Technik,technology; technique,Die Technik entwickelt sich schnell.,Technology is developing quickly.
e18-l1,das Risiko,risk,Das Risiko wird dann natürlich auch geteilt.,The risk will then of course also be shared.
e18-l1,riskant,risky; hazardous,"Wenn dir der Vorschlag zu riskant ist, dann mieten wir die Fahrräder einfach nur bei dir.","If the proposal is too risky for you, then we'll just rent the bikes from you."
e18-l1,etwas liefern,to supply something,Wir wollen unserem Restaurant einen Lieferservice anschließen.,We want to connect a delivery service to our restaurant.
e18-l1,flach,flat,Der See ist sehr flach.,The lake is very flat.
e18-l1,profitabel,lucrative; profitable,Das könnte sehr profitabel werden!,That could become very profitable!
e18-l1,der Erfinder,inventor (male),Der Erfinder hat eine neue Maschine vorgestellt.,The inventor presented a new machine.
e18-l1,der Chip,chip,Das Smartphone hat einen neuen Chip.,The smartphone has a new chip.
e18-l1,etwas erfinden,to invent something,Viele kluge Köpfe wollen etwas erfinden.,Many clever minds want to invent something.
e18-l1,die Nachrichten,news,Ich lese jeden Morgen die Nachrichten.,I read the news every morning.
e18-l1,der Rabatt,discount; rebate,Ich habe einen Rabatt bekommen.,I got a discount.
e18-l1,das Fahrzeug,vehicle,Das Fahrzeug ist sehr schnell.,The vehicle is very fast.
e18-l1,der Lieferservice,delivery service,Ich bestelle oft Essen über den Lieferservice.,I often order food through the delivery service.
e18-l1,jemanden an etwas beteiligen,to include someone in something; to involve someone in something,"Na ja, du steigst in das Projekt als Geschäftspartnerin mit ein und wirst dann am Gewinn beteiligt.","Well, you're joining the project as a business partner and will then be involved in the profit."
e18-l1,etwas speichern,to save something,Wir müssen die Daten speichern.,We have to save the data.
e18-l1,die Investorin,investor (female),Die Investorin hat viel Geld investiert.,The investor has invested a lot of money.
e18-l1,das Jahrhundert,century,Das war ein wichtiges Ereignis im letzten Jahrhundert.,That was an important event in the last century.
e18-l1,die Erfindung,invention,Die Erfindung des Rades war sehr wichtig.,The invention of the wheel was very important.
e18-l1,die Bibel,Bible,Ich lese jeden Tag in der Bibel.,I read the Bible every day.
e18-l1,etwas produzieren,to produce something,Wir produzieren viele Lebensmittel.,We produce a lot of food.
e18-l1,der Investor,investor (male),"Ich kenne einen Investor, der Interesse hat.",I know an investor who is interested.
e18-l1,die Erfinderin,inventor (female),Die Erfinderin hat viele Preise gewonnen.,The inventor has won many awards.
e18-l1,umweltfreundlich,environmentally friendly,Deshalb wollen wir mit dem Fahrrad liefern. Das ist umweltfreundlich und spart auch Benzinkosten.,That's why we want to deliver by bicycle. That's environmentally friendly and also saves gas costs.
e18-l2,die Veganerin,vegan (female),Sie ist Veganerin und isst keine tierischen Produkte.," ""She is vegan and does not eat animal products."""
e18-l2,EL,tablespoon,Du brauchst einen EL Öl.," ""You need one tablespoon of oil."""
e18-l2,jemand,someone; anyone,Hat jemand das gesehen?," ""Has anyone seen that?"""
e18-l2,der Veganer,vegan (male),Er ist Veganer und isst kein Fleisch.," ""He is vegan and doesn't eat meat."""
e18-l2,der Urenkel,great-grandson; great-grandchild (male),Er ist der Urenkel des alten Königs.," ""He is the great-grandson of the old king."""
e18-l2,der Topf,pot,Stell den Topf auf den Herd.," ""Put the pot on the stove."""
e18-l2,die Urenkelin,great-granddaughter; great-grandchild (female),Sie ist die Urenkelin einer berühmten Künstlerin.," ""She is the great-granddaughter of a famous artist."""
